Timestamp,DateTime,Symbol,Open,High,Low,Close,Volume,OpenInterest
1707363900,2024-02-08 09:15:00,NIFTY-FUT,22055.00,22087.00,22043.20,22079.70,800050,12082600
1707364800,2024-02-08 09:30:00,NIFTY-FUT,22079.00,22086.00,22040.10,22054.90,303300,12105150
1707365700,2024-02-08 09:45:00,NIFTY-FUT,22055.30,22056.30,22027.70,22041.00,261000,12128950
1707366600,2024-02-08 10:00:00,NIFTY-FUT,22038.00,22075.00,21988.30,22014.90,509000,12097650
1707367500,2024-02-08 10:15:00,NIFTY-FUT,22015.70,22039.30,21961.00,22030.20,492200,12136500
1707368400,2024-02-08 10:30:00,NIFTY-FUT,22030.10,22045.80,21951.50,21962.00,437350,12149550
1707369300,2024-02-08 10:45:00,NIFTY-FUT,21960.00,21985.30,21914.80,21914.80,498500,12161050
1707370200,2024-02-08 11:00:00,NIFTY-FUT,21912.60,21915.00,21810.00,21840.00,1394200,12095250
1707371100,2024-02-08 11:15:00,NIFTY-FUT,21841.30,21876.90,21829.80,21868.00,616000,12186400
1707372000,2024-02-08 11:30:00,NIFTY-FUT,21865.00,21872.80,21839.00,21861.90,369750,12182150
1707372900,2024-02-08 11:45:00,NIFTY-FUT,21861.00,21899.00,21850.30,21872.80,316950,12164550
1707373800,2024-02-08 12:00:00,NIFTY-FUT,21871.20,21906.30,21869.00,21895.60,308250,12151100
1707374700,2024-02-08 12:15:00,NIFTY-FUT,21895.60,21899.30,21861.60,21876.00,273800,12129850
1707375600,2024-02-08 12:30:00,NIFTY-FUT,21876.00,21892.60,21862.30,21890.40,164550,12124450
1707376500,2024-02-08 12:45:00,NIFTY-FUT,21891.80,21899.80,21875.60,21896.50,155200,12096750
1707377400,2024-02-08 13:00:00,NIFTY-FUT,21896.70,21910.00,21876.00,21896.90,231600,12119500
1707378300,2024-02-08 13:15:00,NIFTY-FUT,21899.00,21905.20,21875.00,21893.00,167800,12138800
1707379200,2024-02-08 13:30:00,NIFTY-FUT,21893.00,21893.80,21876.50,21887.80,170500,12147550
1707380100,2024-02-08 13:45:00,NIFTY-FUT,21887.80,21890.70,21858.00,21869.50,208600,12189700
1707381000,2024-02-08 14:00:00,NIFTY-FUT,21866.30,21872.50,21825.30,21829.30,296400,12223050
1707381900,2024-02-08 14:15:00,NIFTY-FUT,21826.50,21857.00,21811.30,21826.30,331400,12258250
1707382800,2024-02-08 14:30:00,NIFTY-FUT,21824.90,21826.20,21781.90,21805.50,678850,12415500
1707383700,2024-02-08 14:45:00,NIFTY-FUT,21805.40,21820.00,21775.00,21781.30,414950,12557750
1707384600,2024-02-08 15:00:00,NIFTY-FUT,21779.00,21830.00,21768.00,21819.80,858700,12561100
1707385500,2024-02-08 15:15:00,NIFTY-FUT,21819.00,21835.70,21810.00,21814.60,684800,12291900
1707450300,2024-02-09 09:15:00,NIFTY-FUT,21809.90,21844.00,21753.00,21839.00,807100,12262550
1707451200,2024-02-09 09:30:00,NIFTY-FUT,21839.00,21840.30,21782.00,21815.00,467100,12327400
1707452100,2024-02-09 09:45:00,NIFTY-FUT,21815.00,21819.80,21731.10,21737.40,484950,12379150
1707453000,2024-02-09 10:00:00,NIFTY-FUT,21735.00,21810.00,21710.60,21808.00,535200,12346850
1707453900,2024-02-09 10:15:00,NIFTY-FUT,21810.00,21815.00,21765.00,21774.00,216650,12360550
1707454800,2024-02-09 10:30:00,NIFTY-FUT,21773.40,21785.00,21756.20,21756.50,276650,12463900
